No.	Name	Elements
3222	苦行骆驼	土
3221	红沙耳狐	萌
3229	德罗拉	翼，冰
3220	钧霆奥德诺	电
3225	炜煌雷诺	火
3226	安麦伦	土
3224	独角兽艾米	光，土
3223	独角兽迪莫	光，土
3217	洛蔻蔻	土，草
3228	幻象拉克丝	翼
3219	伊西希斯	冰
3213	大地鼠	土
3212	小地鼠	土
3205	巨盾铠犰	石
3211	浮影铜奔马	土
3210	浮影蓝莲	水
3208	浮影猞猁	普通
3207	浮影伏龙	龙
3206	浮影圆银	武
3215	侠客糯米	普通
3216	糯米当家	草
3218	绯衣	毒
3209	玖之帕蔻	石
3204	舞蝶艾艾	虫
3214	曼陀罗战神	恶魔，草
3200	统御骑士	冰
3203	波仔	土
3202	巧巧兔	翼
3201	卡利俄珀	萌
3198	熔炎领主	土，火
3199	竖琴青青	冰，翼
3193	蓝波法芙	水
3197	智谞巴斯姆	幽灵
3196	锻钉洛侠	机械
3195	形影宝戒	萌，水
3194	赏春精灵	草，火
3191	仙魅可叮	萌
3192	黄玉鼓鼓	光
3189	极星彩熊	萌
3185	金大宝	石
3184	舞龙狂狮	武
3183	爆竹声声	火
3182	满福红包	普通
3172	巴哈姆特	武
3179	流绚呱呱	武
3178	敬祝企鹅	石
3177	祈福艾米	光，萌
3176	耀龙迪莫	光，龙
3175	判官弗兰克	机械
3159	砾尊狂狮	土，恶魔
3188	朦之绒球	萌
3169	碧霞兮	草，萌
3158	浮罍斗狮	土，恶魔
3190	拢月猪星	土
3157	角狮	土，恶魔
3156	阿霾	土，恶魔
3181	遮天骨龙	龙，土
3152	翡翠皇后	土，草
3187	耆望磁鹿	武，电
3186	海兰	水
3153	白玉国王	石，光
3180	炮仗急先锋	火，机械
3167	激斗奎因	草
3166	蜃海齿鲨	水
3151	玛瑙战车	土，石
3168	青榄小号	翼
3174	凝魂恶豹	毒，恶魔
3173	宝石利乌	龙
3165	小魔方	机械
3171	硕果格兰	草
3170	挥动者路比	石，火
3164	阿尔贝西	石，恶魔
3163	晓笛	萌，普通
3161	驭萝侠兔	草，虫
3160	星角哞哞	土
3155	沍之璨雪	冰
3147	冥铠战士	幽灵，恶魔
3146	震雷圣子	电
3162	祈月	幽灵
3149	紫玉长老	石，萌
3116	钢铁加鲁鲁兽	机械，冰
3113	天女兽	光，翼
3111	祖顿兽	电，水
3110	超比多兽	虫，电
3108	花仙兽	草，萌
3107	神圣天使兽	光，翼
3103	战斗暴龙兽	龙，火
3098	迦楼达兽	翼，火
3105	笛小钻	石
3154	敏蒂	恶魔
3148	绿宝圆圆	普通
3144	霆霓	电，普通
3150	磁暴妖兽	电
3143	琥珀骑士	武
3145	星舰萝萝	萌
3142	滟媚迪娜	水
3141	虹霞翼虫	虫
3136	紫鸢	翼，毒
3140	萨满阿木木	草，土
3137	墨玉士兵	石
2914	蛊之见缤	毒
3104	琴蓝	电，机械
3135	厉毒茈萝	毒，恶魔
3139	渚雷	水，恶魔
3138	赫苏	水
3126	源古艾米	光
3125	源古迪莫	光
3124	御械女帝	机械
3134	海枝丫	水，幽灵
3133	海枝枝	水，幽灵
3132	珍珠噗噜	萌
3131	珍珠噗噗	萌
3128	洛小阮	水，草
3130	潞虹	萌，水
3129	渡风	冰，武
3122	嬉游	草
3127	遂潼	恶魔，水
3120	霜羽萌皇	萌
3123	裂创虎神	武，冰
3115	曼媞丝	虫
3119	兽神塔尔	火
2868	雷霆伊兹	电，石
3102	守梦·击星	萌，武
3121	焰耀赤龙	火
3101	可丽·花期	光
3118	灵渺星姬	水
3001	冥焱炼狱犬	恶魔
2874	雷磁贝羚	电，武
3114	星河剑魂	普通
3099	守梦·韵律	电
3096	森罗巫妖王	恶魔，翼
3117	谟玛乌图	光，土
3100	可丽·翔歌	电，萌
3112	厉之喵宝儿	机械
2851	雷巫赛芙	毒，电
3109	娑儿	毒，草
2873	雷电斐尔	电，萌
3106	鹿角豪侠	机械
3097	远行木木匠	土
3092	海芙约忒	神水
3094	华彩年兽	龙
3093	非白	机械
3036	吉禄豪炎	火
3091	吉福企鹅	火
3090	迎宵呱呱	萌，普通
3089	繁灯艾米	光
3088	霓光迪莫	光
3081	青钟鹮狐	电，普通
3080	金鸣之狐	电，普通
3095	沌之飞儿	龙
3083	雪罐呼呼	萌
3082	冰晶晶	冰
3079	雝狐	电，普通
3071	凌灵法师	冰，幽灵
3087	空谷	毒
3078	少音	电，普通
3077	花翎护卫	草，翼
3085	红帽熊仔	萌
3086	袜小兜	萌
3070	雪兽骑士	冰，武
3074	枫雪傲霜	冰
3068	滚球小松鼠	普通
3064	霜魄剑	冰
3067	雪毛角羚牛	土
3066	雪梦天仙	冰
3065	守梦·剑光	冰
3063	冰凌圣王	冰，翼
3061	红嘴雪鸥	冰
3019	戮影龙皇	龙，武
3060	玉茗	土，冰
3059	可丽·战意	武
3062	璀璨星狸	萌
3058	守梦·荒山	武
3057	冰小蝎	冰
3054	蓝影幽灵主	幽灵
3056	可丽·野息	火
3055	守梦·绵绵	土
